company_inn,company_name,company_ogrn,final_status_label,first_negative_outcome_date,region_code,okved_main,authorized_capital
1841057254,"ООО ""ЭКОГАРАНТ""",1151832018161,failed,2023-12-01,18.0,38.1,10000.0
1901059121,"ООО ""КОНТИНЕНТ""",1031900525205,failed,2023-03-20,19.0,46.73.6,20000.0
2016078775,"ООО ""ЭЛЕКТРОПУЛЬТ-ГРОЗНЫЙ""",1052021009040,failed,2023-12-20,20.0,27.90,70000000.0
2124026140,"ООО ""СПЕЦФИНПРОЕКТ-КАСКАД""",1062124025798,failed,2025-10-16,21.0,68.20,312000000.0
2125000641,МУП ШГЭС,1022103029410,failed,2023-01-30,21.0,77.39.29,
2125007630,"ООО ""НАШ ДОМ""",1102138000084,failed,2023-03-19,21.0,68.32,10000.0
2130024493,"ООО ""ТК - СНАБЖЕНИЕ""",1072130012162,failed,2023-03-27,21.0,68.31.1,13300.0
2130058622,"ООО ""МКД""",1092130006341,failed,2025-12-22,21.0,74.20,20000.0
2130157486,"ООО ""ТЕРМИНАЛ-РЕСУРС""",1152130009240,failed,2024-04-17,21.0,41.20,10000.0
2130160714,"ООО ""ДИНЕРО""",1152130012341,failed,2024-05-16,21.0,46.72.21,100000.0
2130172822,"АО ""ГУКС""",1162130058914,failed,2022-10-02,21.0,70.22,57928000.0
2204012664,"ООО ""МЕХАНИЧЕСКИЙ ЗАВОД""",1032201642494,failed,2025-10-01,22.0,28.99.9,4000000.0
2204060192,"ООО ""ПРИОБСКОЕ ДЭУ""",1122204004801,failed,2024-01-25,22.0,81.29.9,10000.0
2221204292,"ООО ""ЯРУС""",1132225006418,failed,2024-08-08,22.0,41.2,80000000.0
2224139468,"ООО ""ПРОГРЕСС ПЛЮС""",1102224001384,failed,2023-05-03,22.0,68.32.1,15000.0
2225164499,"ООО ""ГПО №1""",1152225022135,failed,2023-05-30,22.0,41.20,10000.0
2246005242,"ООО ""ИСТОЧНИК""",1212200014806,failed,2024-12-28,22.0,36.00,10000.0
2301092457,"ООО КФ ""АНКОН""",1162301051725,failed,2022-10-16,23.0,10.82,20000.0
2305018172,"ООО ""КЕДР""",1022301067161,failed,2022-03-04,23.0,42.12,
2305026303,"ООО ""ЯКОРЬ""",1092305000215,failed,2023-03-23,23.0,41.20,20000.0
2308150193,"ООО ""КРАСНОДАР СИТИ""",1082308010685,failed,2022-11-18,23.0,71.12.2,17500000.0
2308185823,"ООО ""АРТЕЛЬ""",1122308001166,failed,2023-04-13,23.0,43.91,10000.0
2308210928,"ООО ""ТРАНС АВТО""",1142308007478,failed,2022-09-25,23.0,23.61,10000.0
2308211015,"ООО ""ЧЕРНОМОР-НЕФТЕСТРОЙ""",1142308007544,failed,2022-08-25,23.0,71.12.2,133557412.0
2308228322,"ООО ""СПЕЦСТРОЙ""",1162375000677,failed,2022-07-08,23.0,08.11,10000.0
2309103911,"ООО ""КРАСНОДАРСКИЙ ТД ""БЕЛШИНА""",1072309011928,failed,2023-02-03,23.0,45.3,1010000.0
2309112722,"ООО ""КУБАНЬ-ПРОГРЕСС-ЮГ""",1082309003700,failed,2025-03-10,23.0,64.99.11,15000.0
2310156548,"ООО ""ПВМ""",1112310004641,failed,2023-02-24,23.0,55.10,40000.0
2311026407,"ООО ""ФОЛИАНТ""",1022301812653,failed,2022-02-06,23.0,46.49.31,10000.0
2311125398,"ООО ""КА-СТРОЙ""",1102311003222,failed,2022-10-03,23.0,25.11,48780.0
2311168842,"ООО ""МЕГАСТРОЙ""",1142311002240,failed,2024-12-12,23.0,,
2311177205,"ООО ""УК-КРАСНОДАР РЦ 23""",1142311012128,failed,2022-08-19,23.0,68.32,11000.0
2312006139,"ООО СМУ ""ГРАЖДАНСТРОЙ""",1022301428060,failed,2023-03-13,23.0,41.20,10000.0
2312068992,"НСТ ""ДРУЖБА""",1032304933583,failed,2024-09-13,23.0,68.32,
2312171340,"ООО ""СТРОЙИНВЕСТ""",1102312004387,failed,2023-05-27,23.0,71.12.2,16000.0
2312282146,"ООО ""ПК ""РДС""",1192375029164,failed,2023-03-16,23.0,42.11,100000.0
2313020030,"ЖСК ""ЕДИНСТВО""",1052307969340,failed,2023-03-02,23.0,41.2,
2315177407,"ООО ""ЮТС""",1122315006747,failed,2022-05-28,23.0,52.29,20000.0
2315984986,"МУП ""ЕРЦ""",1152315004445,failed,2023-01-28,23.0,68.32,3000000.0
2318041972,"ООО ""СТРОЙ-ЦЕНТР""",1152366009070,failed,2023-12-07,23.0,41.20,10000.0
2320085335,"ООО  ""ИДА""",1032311672733,failed,2022-05-26,23.0,71.11,10000.0
2320183653,"ООО ""АТЛАНТ""",1102366004828,failed,2023-04-02,23.0,43.99,10000.0
2320248886,"ООО ""СТЭ-СЕРВИС""",1172375041926,failed,2022-10-27,23.0,68.32,10000.0
2321014714,ООО «Завод по изоляции труб»,1062321000026,failed,2023-07-19,23.0,25.61,20000000.0
2337031232,"МУП ""ГОРКОММУНХОЗ""",1062337003992,failed,2024-04-04,23.0,37.00,12027109.0
2340017189,"ООО ""КУЩЕВКА-ЛАДА""",1052322523560,failed,2022-12-18,23.0,68.32,100000.0
2364014701,"ООО ""СИГМА""",1162364051409,failed,2023-07-14,23.0,46.32,20000.0
2365021701,"ООО ""ЕВРОСТРОЙ""",1132365001053,failed,2023-08-29,23.0,43.11,100000.0
2372003855,"ООО ""МАГ-СТРОЙ""",1122372003192,failed,2022-07-25,23.0,41.20,86680.0
2376000171,"ООО ""СТР""",1172375047690,failed,2023-11-27,23.0,,
2407009000,"ООО ""БЛК""",1162468125709,failed,2024-09-06,24.0,,
2407063079,"ООО ""БОГУЧАНСКИЙ ЛПК""",1072420000234,failed,2022-05-23,24.0,02.20,526247000.0
2409000620,"ООО ""СЕРВИС-СТРОЙ""",1122443000107,failed,2022-11-10,24.0,43.99.1,10000.0
2443049023,"ООО УК ""ЖКК""",1172468036510,failed,2022-05-03,24.0,68.32.1,12500.0
2453001888,"ООО ""КЛЮЧ""",1022401483928,failed,2022-04-14,24.0,,
2462045708,"ООО ТД ""ФОРТУНА""",1162468051580,failed,2024-03-04,24.0,49.41,10000.0
2463030694,"ООО "" ИСКРА - ПРИМ """,1022402133632,failed,2022-05-14,24.0,26.30.5,
2463237410,"ООО ""СУ 208""",1122468026680,failed,2023-06-08,24.0,41.20,20000.0
2464047130,"ООО "" СТРОЙМИР """,1032402505035,failed,2023-07-01,24.0,43.2,10000.0
2464142425,"ООО ""КРЕПОСТЬ""",1182468023451,failed,2023-10-27,24.0,,
2465144908,"ООО НК ""НАФТА-СИБИРЬ""",1162468074230,failed,2022-08-26,24.0,46.71,10000.0
2466002078,"ООО ""КПНУ ЗАО ""ВСТМ""",1022402651644,failed,2024-01-01,24.0,43.22,10000.0
2466110845,"ООО ""СТРОЙКОМПЛЕКТ""",1032402964802,failed,2022-12-03,24.0,46.73.6,10000.0
2469002943,"ООО ""ЕНИСЕЙ""",1142457001587,failed,2023-01-28,24.0,11.05,10000.0
2508045171,"ООО ""ВОСТОКСТРОЙСЕРВИС""",1022500704137,failed,2023-03-05,25.0,49.41,10000.0
2508078018,"ООО ""МЫС ПОВОРОТНЫЙ""",1072508000993,failed,2022-10-03,25.0,41.20,12500.0
2526006520,"ООО ""ЛВК""",1172536030204,failed,2023-04-08,25.0,36.00,10000.0
2537014019,"ООО ""ТПФ ""БРИЗ""",1022501798076,failed,2023-08-03,25.0,45.31.1,40000.0
2540165515,"ООО ""УК ФРУНЗЕНСКОГО РАЙОНА""",1102540006470,failed,2022-07-21,25.0,68.32.1,14000.0
2540233606,"ООО ""ФАР ИСТ ШИП МЕНЕДЖМЕНТ""",1182536007884,failed,2022-06-30,25.0,50.20,10000.0
2625000336,"ОАО ""Винзавод ""Георгиевский""",1022601169612,failed,2024-01-29,26.0,11.02,10029360.0
2625802322,"ООО ""АГРОТЕХ-СЕРВИС""",1142651015088,failed,2023-10-13,26.0,52.29,10000.0
2627800144,"АО ""АВТОДОРОГИ КАВКАЗА""",1112651009305,failed,2023-02-25,26.0,42.11,5915500.0
2628049851,"ООО ""УК ДОМОУПРАВЛЕНИЕ №2 В ГОРОДЕ КИСЛОВОДСКЕ""",1072628001522,failed,2022-04-12,26.0,68.32.1,10000.0
2631039726,"ООО ""НЭМЗ""",1192651006459,failed,2023-03-19,26.0,24.10.2,10000.0
2632801168,"ООО УК ""СТРОЙ КОМ КМВ""",1112651013650,failed,2022-11-27,26.0,43.12,10000.0
2632808195,"ООО ""ТЭГ""",1132651014836,failed,2023-03-16,26.0,68.32.1,10000.0
2635100805,"ООО ""МЕГА-СТРОЙ""",1072635008676,failed,2024-10-11,26.0,,
2635801960,"ООО ""МЕГАСТРОЙ СК""",1112651001044,failed,2022-10-30,26.0,46.73,35000.0
2704023304,"ООО ""УК ""НАШ ДОМ СОВГАВАНЬ""",1142709000422,failed,2024-10-14,27.0,68.32,10000.0
2705001046,"МУП ""ТЕПЛОСЕРВИС""",1172724016520,failed,2023-12-01,27.0,35.30.14,860000.0
2707002775,"ООО ""СОБР""",1062713020853,failed,2024-12-18,27.0,66.19.6,10000.0
2722110430,"ООО "" ХАБТРИОН""",1122722001434,failed,2022-02-06,27.0,68.20,50000.0
2723093561,"ООО ""АЛЬЯНС-СТРОЙИНДУСТРИЯ""",1072723004859,failed,2022-09-16,27.0,68.20.29,10000.0
2723147697,"ООО ""ЛАЗУРИТ""",1122721001798,failed,2024-01-12,27.0,,
2723169972,"ООО ""ЭНЕРГИЯ-ДВО""",1142723002058,failed,2024-05-28,27.0,49.41.1,10000.0
2724084753,"ООО ""НОРД""",1052700261184,failed,2023-02-27,27.0,55.10,100000.0
2725095966,"АО ""АТР""",1102722004010,failed,2024-09-09,27.0,01.11,20000.0
2808000774,"ООО ""НАШ ДОМ""",1162801054613,failed,2024-11-13,28.0,68.32.1,10000.0
2808017577,"ООО ""Тындатрансстрой""",1062808002476,failed,2023-03-09,28.0,41.20,10000.0
2826005567,"ООО ""ТРАНС ЛАЙН""",1092808000317,failed,2023-05-02,28.0,46.1,10000.0
2901219497,"ООО ""УК ""НОВОКОМ""",1112901010100,failed,2025-02-10,29.0,68.32,25000.0
2901286133,"ООО ""НЕРТУС""",1172901006960,failed,2023-08-21,29.0,56.10,10000.0
2901299527,"ООО ""УК ""ТАЙБОЛА""",1192901009840,failed,2024-11-02,29.0,68.32.1,10000.0
2902058588,"ЗАО ""СУ ""СМК""",1082902000840,failed,2023-03-03,29.0,43.99.7,10000.0
2911006138,"ООО ""ЭКО-АЛЬТЕРНАТИВА""",1102918000426,failed,2024-06-06,29.0,16.29.1,100000.0
3009010009,"ООО ""ПРИВОЛЖСКАЯ ПМК""",1023000870265,failed,2023-04-22,30.0,42.91.2,1882000.0
3016044714,"ООО ""ИНТЕРСТРОЙ""",1053000605338,failed,2022-03-29,30.0,,
3019013351,"ООО ""КАСПИЙПРОФСЕРВИС""",1143019003467,failed,2023-03-24,30.0,35.30.4,10000.0
3102009657,"ООО ""ГК ""СТРОЙДИСКОНТ""",1153130000341,failed,2022-09-12,31.0,46.73,300000.0
3121000410,"ООО ""РУССКИЕ СИСТЕМЫ ПОЖАРОТУШЕНИЯ""",1153130000770,failed,2022-08-09,31.0,41.20,10000.0
3121008507,"ООО ""ПСК ГЕРМЕС""",1183123032223,failed,2022-10-10,31.0,41.20,100000.0
3123060284,"ООО ""МОЙДОДЫР""",1023101639505,failed,2022-01-24,31.0,47.53.3,10000.0
3123300970,"ООО ""ЭКСПЕРТПРОЕКТСТРОЙ""",1123123008854,failed,2022-02-05,31.0,41.20,10000.0
3123343476,"ООО ""ТЮС-СМП-608""",1143123007543,failed,2025-02-07,31.0,42.11,10000.0
3125008025,"АО ""БКХП""",1023101640671,failed,2024-05-28,31.0,10.91.1,29828.0
3209001682,"МУП ""МИРНИНСКИЙ ЖИЛКОМХОЗ""",1023201339699,failed,2022-02-04,32.0,68.32.1,
3257046651,"ООО ""ПК АВ ""ОЙЛ""",1163256062474,failed,2022-08-19,32.0,46.71,10000.0
3303036019,"ООО ""ЭКОТЕХ""",1173328002935,failed,2022-06-16,33.0,38.11,10000.0
3306018949,"ООО ""ТЕХНОЛОГИЯ ТЕПЛА""",1183328003451,failed,2023-10-26,33.0,35.30.2,25000.0
3321034776,"ООО ""ВОДОКАНАЛ-СЕРВИС""",1173328017125,failed,2024-12-16,33.0,36.00,10000.0
3338007139,"ООО ""ЯРОПОЛЧЪ""",1103338000864,failed,2024-09-09,33.0,68.2,500000.0
3418101610,"ООО ""ПРИКАСПИЙНЕФТЕГАЗ""",1053478403879,failed,2023-07-27,34.0,46.71.2,22020000.0
3435109986,"ООО ""ВЭР""",1113435009852,failed,2023-04-28,34.0,33.14,20000.0
3443087687,"ООО ""КРЕО""",1083443005942,failed,2024-06-07,34.0,71.11.1,10000.0
3443920517,"ООО ""СТРОЙГАРАНТ""",1133443005189,failed,2023-06-16,34.0,41.2,10000.0
3443922881,"ООО ""ТД ВЕСМАШ""",1133443018280,failed,2023-09-11,34.0,46.69.5,10000.0
3453003774,"ООО ""ТЕПЛЫЙ ГОРОД""",1163443060010,failed,2025-06-25,34.0,35.30.14,10000.0
3458000449,"ООО ""ЭКОТРАНС""",1133458000246,failed,2022-07-14,34.0,,
3460016365,"ТСН ""ДОБРЫЙ ДОМ""",1143443017893,failed,2023-07-21,34.0,68.32,
3510008524,"ООО ""КФК""",1103536001095,failed,2023-07-14,35.0,,
3525041676,"ФГУП ""ВОЛОГОДСКОЕ"" ФСИН РОССИИ",1023500885231,failed,2022-01-14,35.0,10.11,541358.0
3525213558,"ООО ""ИНСТРОЙ""",1083525016519,failed,2022-09-29,35.0,,
3525299442,"ООО ""ГОЛДТРЕЙД""",1133525007770,failed,2022-09-19,35.0,41.20,20000.0
3525346741,"ООО ""ЗСХ""",1153525008867,failed,2025-11-18,35.0,23.51,10010000.0
3525358391,"АО ""ПАТП № 1""",1153525033023,failed,2023-12-28,35.0,49.31.21,303675000.0
3525406091,"ООО ""ПОСАД +""",1173525024287,failed,2024-11-12,35.0,46.73,20000.0
3528160223,"ООО ""СКИВ""",1093528010003,failed,2023-04-10,35.0,43.2,50000.0
3528205266,"ООО ""КВАДРА СТРОЙ""",1133528008570,failed,2023-02-21,35.0,43.99.5,10000.0
3528297316,"ООО ""БАНЗАЙ МОБАЙЛ""",1183525040907,failed,2023-05-11,35.0,47.42,10000.0
3616017342,"ООО ""ГАЗСТРОЙСЕРВИС""",1143668035400,failed,2022-03-03,36.0,41.20,250000.0
3628017442,"ООО ""НДСТ-АКТИВ""",1133668047281,failed,2023-04-16,36.0,23.99.2,20000.0
3662051620,"ООО ""ГРАНД-ЭКС""",1033600065784,failed,2024-09-13,36.0,46.31.2,3110833.0
3662075589,"ООО ""КАРАТ - МАСТЕР""",1023601570827,failed,2022-04-14,36.0,31.01,100000.0
3662075780,"ООО ""ВИЗИТ-ФАРМ""",1023601582740,failed,2024-02-10,36.0,47.73,10000.0
3663089288,"ООО СК ""СИГМА""",1113668048746,failed,2023-02-08,36.0,41.20,10000.0
3663116478,"ООО ""КАЛИПСО""",1153668068311,failed,2024-02-16,36.0,,
3664117964,"ООО ""УК ""НОВЫЙ ГОРОД""",1123668013370,failed,2024-01-23,36.0,,
3666153870,"ООО ""КАИНВЕСТ-ОЙЛ""",1083668030049,failed,2022-06-20,36.0,46.71,10000.0
3666204556,"ООО ""ЦЕНТРАЛЬНЫЙ УНИВЕРМАГ""",1153668072766,failed,2022-12-01,36.0,46.41,10000.0
3701042780,"ООО ""ГОРОДСКОЙ АВТОБУС""",1073701000218,failed,2022-06-13,37.0,49.31.21,3767400.0
3702514891,"ООО ""ЭЛЕКТРОСЕТИ""",1073702002846,failed,2023-11-27,37.0,68.20,100000.0
3703040820,"ООО ""ДЕЛОВОЙ СОЮЗ""",1073703001899,failed,2025-07-24,37.0,96.04,10000.0
3704570901,"МУП ЖКХ ""НОВОГОРЯНОВСКОЕ КОММУНАЛЬНОЕ ОБЪЕДИНЕНИЕ""",1113704000266,failed,2024-12-13,37.0,35.30.5,10000.0
3713000954,"МУП РАЙОНА ""СИРИУС""",1023701591352,failed,2024-10-24,37.0,36.00,500000.0
3724019019,"ООО ""АТС""",1073704000138,failed,2025-08-11,37.0,01.61,10000.0
3730011811,"ООО ""ИВМОЛОКОПРОДУКТ""",1023700550170,failed,2025-07-28,37.0,10.51,1000000.0
3805734289,"МУП ""РКС""",1193850021760,failed,2022-01-24,38.0,81.10,101000.0
3808194465,"ООО ""ТЮС-БАЙКАЛ""",1163850063850,failed,2023-02-05,38.0,42.11,100000.0
3810012507,"ООО ""ИРМЗ""",1143850067041,failed,2022-11-12,38.0,25.11,10000.0
3811103549,"ООО ""СВЯЗЬСТРОЙ КАПИТАЛ""",1063811055934,failed,2023-05-08,38.0,68.20.2,15000.0
3811184795,"ООО""ФСК МИЛАНА""",1143850048616,failed,2022-10-03,38.0,41.20,10000.0
3812076440,"ОАО ""ИРКУТСКПЕЧАТЬ""",1033801766921,failed,2023-06-20,38.0,47.89.1,4900000.0
3812138343,"ООО ""ТЕСЛА""",1123850003265,failed,2023-01-30,38.0,41.2,40000.0
3812156649,"ООО ""БЭМ""",1143850030830,failed,2022-04-09,38.0,41.20,25000.0
3812158004,"ООО ""АТЛАНТИС""",1143850042236,failed,2023-03-12,38.0,46.38.1,10000.0
3844004222,"ООО ""ПИОНЕРСКИЙ ЛПХ""",1023802805070,failed,2023-09-21,38.0,02.20,35000124620.0
3849006417,"ООО ""РЕМСТРОЙ""",1093850028678,failed,2023-06-27,38.0,,
3906368938,"ООО ""ВИТАФЭТ""",1183926013171,failed,2024-04-18,39.0,10.42,100000.0
3906376047,"ООО ""СК ВЕСТА +""",1193926000190,failed,2025-11-12,39.0,41.20,10000.0
3906957588,"ООО ""ИНВЕСТ""",1153926009797,failed,2023-03-08,39.0,46.48.2,100000.0
3911008391,"МУП ""ЖИЛСЕРВИС""",1023902003630,failed,2025-05-20,39.0,68.32.1,
3918011322,"МУП ""КОММУНАЛЬЩИК""",1143926051257,failed,2023-06-05,39.0,36.00,8741513.0
3918012044,"ООО ""ЗТС""",1153926028740,failed,2022-09-27,39.0,,
4005001020,"ОАО""ЧЕРНЫШЕНСКИЙ ЛЕСОКОМБИНАТ""",1024000595794,failed,2022-01-25,40.0,16.21.1,8394944.0
4105045535,"ООО ""КЭСК""",1154177002253,failed,2022-01-21,41.0,42.22,10000.0
4217193080,"ООО ""ЗССО""",1194205005015,failed,2022-04-26,42.0,28.92,100000.0
4223086707,"ООО ""СЭТ-42""",1154223001624,failed,2023-07-17,42.0,35.12,20000.0
4250000931,"ООО ""СЦ""КВОЛИТИ""",1044250003600,failed,2022-02-18,42.0,16.10,10000.0
4252011304,"ООО ""СТРОЙ СИБИРЬ ТРЕСТ""",1164205054210,failed,2025-03-28,42.0,41.20,10000.0
4253997231,"ООО ""СИБ-НК""",1114253000179,failed,2022-05-24,42.0,41.20,10000.0
4318004773,"ООО ""ИСТОЧНИК""",1194350002175,failed,2025-03-25,43.0,36.00,10000.0
4611010391,"ООО""ПЛК""",1084611001463,failed,2024-08-26,46.0,46.39,10000.0
4632231666,"ООО ""ЛЕСНОЙ СОЮЗ""",1174632012741,failed,2022-04-21,46.0,16.10,80282904.0
4826053934,"ООО ""ГОРСТРОЙ""",1064823066725,failed,2024-06-07,48.0,41.20,18000.0
