company_inn,company_name,company_ogrn,final_status_label,first_negative_outcome_date,episode_peak_month,peak_stress_score,episode_total_events,episode_total_cases,company_registration_year,region_code,okved_main,authorized_capital
0274193146,"ООО ""КОМЕТА""",1140280409422,failed,2022-05-07,2025-06-01,1.0,2.0,2.0,2014.0,2,68.20,189220339.0
0274911365,"ООО ""БПК-ТРЕЙДИНГ""",1150280079971,failed,2020-07-13,2023-10-01,1.0,1.0,1.0,2015.0,2,46.32.1,10000.0
0274922938,"ООО ""ЗОЛОТОЙ ЗАПАС""",1160280138171,failed,2024-12-29,2020-10-01,1.0,1.0,1.0,2016.0,2,66.19,10000.0
0274939875,"ООО ""КИС""",1180280048080,failed,2025-05-14,2024-06-01,1.0,1.0,1.0,2018.0,2,,
0275036428,"АО ""РЕГИОНСТРОЙКОМПЛЕКС""",1030204112861,failed,2025-09-05,2025-01-01,1.0,1.0,1.0,2001.0,2,71.11.1,
0275050888,"ООО ""УРАЛ-ТРЕЙД""",1050204168607,failed,2021-10-04,2017-04-01,1.0,1.0,1.0,2005.0,2,68.20.2,78111000.0
0275079453,"ООО ""ТЖХ""",1120280049196,failed,2025-07-28,2022-08-01,1.0,1.0,1.0,2012.0,2,68.32.1,10000.0
0276075275,"ООО ""ИНВИТФАРМ""",1030204215733,failed,2022-11-18,2020-07-01,2.0,2.0,1.0,2003.0,2,47.73,15000.0
0276116933,"ООО ""ИСР""",1080276007316,failed,2021-03-23,2020-03-01,3.0,4.0,4.0,2008.0,2,41.20,10000.0
0276924730,"ООО ""ГРАНД""",1170280049917,failed,2024-05-13,2020-08-01,2.0,6.0,5.0,2017.0,2,,
0277033180,"ТСЖ ""АДМИРАЛЪ""",1020203083790,failed,2023-03-09,2025-03-01,1.0,1.0,1.0,1996.0,2,68.32.1,
0277119729,"ООО ""КОМПАНЬОН""",1120280004393,failed,2023-07-07,2020-09-01,1.0,1.0,1.0,2012.0,2,,
0277127649,"ООО ""ОЖХ ОРДЖОНИКИДЗЕВСКОГО РАЙОНА Г. УФЫ""",1130280012488,failed,2024-02-25,2025-01-01,1.0,1.0,1.0,2013.0,2,68.32.1,10000.0
0277920537,"ООО ""ПРОМЫШЛЕННО-ТОРГОВАЯ ГРУППА""",1170280029996,failed,2021-04-05,2023-10-01,1.0,1.0,1.0,2017.0,2,46.90,50000.0
0277923263,"ООО ""КСС""",1170280059840,failed,2023-10-27,2020-08-01,1.0,1.0,1.0,2017.0,2,,
0278157029,"ООО ""СУ-2 ОАО ""ГОССТРОЙ""",1090280008257,failed,2022-10-17,2025-07-01,2.0,2.0,1.0,2009.0,2,71.11.1,10000.0
0278213273,"ООО ""НОВЫЙ ГОРОД НЕДВИЖИМОСТЬ""",1140280041670,failed,2022-02-27,2020-09-01,1.0,1.0,1.0,2014.0,2,41.20,10000.0
0278910771,"ООО ""ВЫСОТКИ""",1150280067068,failed,2022-03-25,2024-08-01,1.0,1.0,1.0,2015.0,2,41.20,10000.0
0309408420,"МУП ЖКХ МО ""КАБАНСКИЙ РАЙОН""",1180327013294,failed,2023-05-18,2020-06-01,4.0,12.0,7.0,2018.0,3,35.30.14,63327.0
0323044260,"АО ""ПГС""",1020300901620,failed,2020-03-18,2025-04-01,1.0,1.0,1.0,1993.0,3,41.20,1641.0
0323114728,"ООО ""СУ-5""",1020300911773,failed,2025-06-30,2024-03-01,1.0,1.0,1.0,2001.0,3,41.20,67711109.0
0323403215,"ООО ""БЭСК""",1180327000952,failed,2022-07-17,2021-11-01,2.0,3.0,3.0,2018.0,3,35.12,10000.0
0400007875,"ООО ""АЛТАЙ БАРС""",1180400000901,failed,2023-10-11,2020-10-01,1.0,2.0,2.0,2018.0,4,41.20,1000000.0
0531010960,"ООО ""ЭТАЛОН""",1080531000549,failed,2023-10-20,2020-08-01,1.0,2.0,2.0,2008.0,5,,
0531011635,"ООО ""УНИВЕРСАЛ""",1110531000040,failed,2020-10-12,2020-10-01,2.0,2.0,1.0,2011.0,5,46.75.2,10000.0
0725023090,"МУП ""ВОДОКАНАЛ""",1170726005262,failed,2022-02-06,2025-05-01,1.0,1.0,1.0,2017.0,7,36.00,100000.0
0726006330,"ООО ""ЛУРДЕС И СК""",1120726001330,failed,2022-12-03,2020-05-01,1.0,1.0,1.0,2012.0,7,46.36.2,10000.0
0814142156,"ООО ""ЗАПСИБГАЗМОНТАЖ""",1030800761793,failed,2023-03-08,2021-04-01,1.0,1.0,1.0,2001.0,8,43.11,5700000.0
0816037816,"ООО ""АЛЬЯНС-СЕРВИС""",1190816000297,failed,2024-03-05,2021-11-01,1.0,1.0,1.0,2019.0,8,68.32,10000.0
0817001548,"ООО ""ВОСХОД""",1140817000323,failed,2022-07-21,2025-05-01,1.0,1.0,1.0,2014.0,8,01.11,10000.0
0901006512,"ООО ФИРМА ""МЕРКУРИЙ""",1020900509156,failed,2021-12-19,2025-03-01,1.0,1.0,1.0,2001.0,9,11.07.1,2852820.0
0901050261,"ООО АК ""ДЕРВЕЙС""",1020900515305,failed,2020-02-12,2021-11-01,1.0,1.0,1.0,2002.0,9,29.10.2,85817160.0
0901051931,"ЖСК ""ВИТЯЗЬ""",1030900726460,failed,2024-10-22,2019-10-01,1.0,1.0,1.0,2003.0,9,41.20,580000.0
0917001534,"ООО ""КЖБК""",1050900970988,failed,2020-07-12,2020-06-01,1.0,2.0,2.0,2005.0,9,23.61,213614700.0
0917017157,"ООО ""НЕСТЕРТВ""",1100917001745,failed,2022-04-12,2020-06-01,2.0,4.0,2.0,2010.0,9,41.20,40000000.0
0918000420,"ООО ""ЮГ-ТРАНС""",1080918000283,failed,2020-02-13,2020-02-01,2.0,5.0,3.0,2008.0,9,49.4,16520000.0
1001196478,"ООО ""КАРЕЛЭНЕРГОИНВЕСТ""",1071001014039,failed,2022-07-21,2020-05-01,1.0,1.0,1.0,2007.0,10,35.30.14,66000000.0
1001310896,"ООО ""СЕГЕЖА СЕТИ""",1161001055577,failed,2019-11-05,2024-02-01,1.0,1.0,1.0,2016.0,10,35.30,15000.0
1011011454,"ООО ""РЦ ВОДОКАНАЛ""",1161001064510,failed,2025-10-20,2025-03-01,1.0,1.0,1.0,2016.0,10,36.00,10000.0
1101031335,"ООО ""БАСТАРД""",1021100527766,failed,2024-06-04,2023-05-01,1.0,1.0,1.0,2001.0,11,46.72.2,
1101041968,"ООО ""ГЖЭК""",1041100422560,failed,2022-06-04,2025-09-01,1.0,1.0,1.0,2004.0,11,41.2,10000.0
1101088003,"ООО УК ""ЖИЛВЕСТ""",1111101004959,failed,2025-11-24,2020-06-01,1.0,1.0,1.0,2011.0,11,68.32.1,10000.0
1101094960,"ООО ""ДЕЛОВОЙ АЛЬЯНС""",1121101009083,failed,2019-06-21,2020-10-01,4.0,6.0,5.0,2012.0,11,68.1,14010000.0
1101118184,"ООО ""ВИК""",1041100407424,failed,2024-03-22,2020-07-01,2.0,3.0,3.0,2004.0,11,41.2,10000.0
1101137243,"ООО ""УК""РЭКОН""",1081101004335,failed,2023-03-23,2025-02-01,1.0,1.0,1.0,2008.0,11,68.32.1,10000.0
1102044760,"ООО ""ТРАНССТРОЙСЕРВИС""",1041100600518,failed,2023-02-02,2025-09-01,4.0,7.0,6.0,2004.0,11,42.99,15000000.0
1102067165,"ООО ""ВУКТЫЛЖИЛИНВЕСТ""",1101102002792,failed,2021-01-25,2020-06-01,1.0,2.0,2.0,2010.0,11,68.32,20000.0
1102075085,"ООО ""АИСТ""",1141102001061,failed,2022-04-07,2020-06-01,1.0,1.0,1.0,2014.0,11,35.30,10000.0
1103012627,"ООО ""ЖЭУ-8""",1141103000972,failed,2025-12-29,2025-02-01,1.0,2.0,2.0,2014.0,11,68.32.1,10000.0
1105013739,"ООО ""СТРОЙТЕХНОЛОГИЯ""",1021100875707,failed,2024-10-17,2025-10-01,1.0,1.0,1.0,2000.0,11,41.20,
1105024586,"ООО ""УЕЗД""",1181101001674,failed,2022-09-18,2025-06-01,1.0,1.0,1.0,2018.0,11,68.32.1,20000.0
1106014799,"ООО ""СТАНДАРТ-2""",1021100896442,failed,2022-02-03,2023-09-01,1.0,1.0,1.0,2001.0,11,41.20,19900.0
1116004398,ЕМВИНСКОЕ ПО,1021101067723,failed,2022-10-01,2025-07-01,1.0,1.0,1.0,1997.0,11,56.29,
1215128210,"ООО ""РЕНОВА""",1081215000756,failed,2024-05-06,2020-07-01,1.0,1.0,1.0,2008.0,12,46.4,11000.0
1215172259,"ООО ""ДСК №5""",1131215003523,failed,2022-01-19,2019-12-01,1.0,1.0,1.0,2013.0,12,41.2,10000.0
1308037397,ФГУП СМУ-13 ФСИН РОССИИ,1021300659005,failed,2023-09-04,2021-08-01,1.0,1.0,1.0,1993.0,13,41.20,
1322001385,"ООО ""КОЛОС""",1181326004309,failed,2023-05-04,2020-10-01,1.0,1.0,1.0,2018.0,13,01.11,10000.0
1324001800,"ООО ""СМУ №1""",1161324050051,failed,2022-05-22,2025-02-01,1.0,1.0,1.0,2016.0,13,41.20,10000.0
1326026535,"ОАО ""ЛАМЗУРЬ""",1021300982955,failed,2023-11-30,2025-03-01,1.0,1.0,1.0,1992.0,13,10.82.2,
1326192405,"ООО ""РБМ""",1041316018072,failed,2024-05-13,2020-06-01,1.0,1.0,1.0,2004.0,13,17.11,17773.0
1327004453,"ГУП РЕСПУБЛИКИ МОРДОВИЯ ""УК ""ИНДУСТРИАЛЬНЫЙ (ПРОМЫШЛЕННЫЙ) ПАРК ""СВЕТОТЕХНИКА""",1071327001151,failed,2021-01-01,2025-02-01,1.0,1.0,1.0,2007.0,13,68.10,46073200.0
1327157731,"МП Г.О. САРАНСК ""ПРОЛЕТАРСКОЕ ЖРСУ""",1041318004177,failed,2022-06-19,2020-08-01,2.0,4.0,3.0,2004.0,13,81.29.9,1000000.0
1415010696,"СППК ММК ""МАЙА""",1071415000051,failed,2022-06-16,2023-06-01,1.0,1.0,1.0,2007.0,14,10.5,4206000.0
1420000485,"ООО ""НЕРА-АНТАГАЧАН""",1161447058552,failed,2021-11-22,2024-04-01,1.0,1.0,1.0,2016.0,14,07.29.41,10000.0
1435267594,"ООО ""МОНОЛИТ""",1131447008186,failed,2025-01-28,2020-05-01,2.0,2.0,1.0,2013.0,14,41.2,10000.0
1435277835,"ООО ""ТРАМП""",1141447002630,failed,2023-03-13,2025-03-01,1.0,1.0,1.0,2014.0,14,68.20,2500000.0
1511000933,МУПВКХ,1021500944475,failed,2023-04-09,2024-04-01,1.0,1.0,1.0,1980.0,15,68.20.29,270000.0
1513000745,"МУП ""ВЛАДИКАВКАЗСКИЕ ВОДОПРОВОДНЫЕ СЕТИ""",1101513000654,failed,2017-07-14,2020-07-01,6.0,41.0,27.0,2010.0,15,36.00,100000.0
1516620472,"МУП ""ВИРЦ""",1091516001763,failed,2022-03-27,2020-06-01,4.0,8.0,5.0,2009.0,15,63.11,100000.0
1516621765,"ООО ""ЭКСПЕРТ ИНТЕГРАЦИЯ""",1101516000629,failed,2025-12-22,2019-04-01,1.0,1.0,1.0,2010.0,15,41.2,10000.0
1601008990,"ООО ""АГРОФИРМА-АГРЫЗ""",1161674050504,failed,2025-01-24,2020-05-01,2.0,2.0,1.0,2016.0,16,01.11,527324500.0
1619006480,"ООО ""СК ""ТАТДОРСТРОЙ""",1141675001357,failed,2019-07-19,2025-08-01,2.0,2.0,2.0,2014.0,16,42.11,10000.0
1629005510,"ООО ""ОГ""",1151651000764,failed,2025-02-28,2020-05-01,9.0,13.0,13.0,2015.0,16,,
1632007348,"ЗАО ""НУРЛАТСКИЙ САХАР""",1031633602813,failed,2024-12-26,2022-09-01,1.0,1.0,1.0,2003.0,16,10.81,157268700.0
1635009054,"ООО ""ГСМ-ТРЕЙД""",1101675000602,failed,2020-09-17,2025-08-01,1.0,1.0,1.0,2010.0,16,46.71,30000.0
1639016239,"АО ""МПО ИНШААТ""",1021601374387,failed,2017-06-27,2025-08-01,1.0,1.0,1.0,2000.0,16,41.2,300280.0
1643016591,"ООО ""МИЛКВИЛЬ""",1201600055140,failed,2023-03-09,2024-02-01,1.0,1.0,1.0,2020.0,16,10.51,100000.0
1644049590,"ООО ""ИЦ ""ГАММА""",1151644001090,failed,2023-01-31,2025-02-01,1.0,1.0,1.0,2015.0,16,71.11,20000.0
1645028810,"ООО ""УРАЛСТРОЙНЕФТЬ""",1131689001641,failed,2021-06-26,2025-09-01,2.0,2.0,2.0,2013.0,16,77.32,100000.0
1650121597,"ООО ""ПРОМТОРГСЕРВИС""",1041616069274,failed,2022-11-20,2024-01-01,1.0,1.0,1.0,2004.0,16,46.32,10000.0
1651072688,"ООО ""НЕФТЕЗАВОДМОНТАЖ""",1141651002360,failed,2024-02-14,2020-07-01,1.0,1.0,1.0,2014.0,16,41.20,10000.0
1651075897,"ООО ""УК ""МОЙ ДОМ КАМСКИХ ПОЛЯН""",1151651003294,failed,2023-04-14,2019-11-01,2.0,3.0,2.0,2015.0,16,68.32.1,10000.0
1655066967,"ООО ""Строительно-монтажное управление""",1071600004310,failed,2025-01-24,2022-11-01,1.0,1.0,1.0,2007.0,16,43.12,8385500.0
1655136163,"ООО ""АВТОМАТИКА""",1071690026682,failed,2022-11-11,2024-06-01,1.0,1.0,1.0,2007.0,16,,
1655150841,"ТСЖ ""ГАЛАКТИОНОВА 3 ""Б""",1081690003515,failed,2021-05-06,2025-09-01,1.0,1.0,1.0,2008.0,16,68.32.1,0.0
1655198970,"ООО ""ЭНЕРГОПЕРСПЕКТИВА""",1101690048570,failed,2024-05-02,2020-03-01,2.0,2.0,1.0,2010.0,16,62.02,10000.0
1655206290,"ООО ""КЗСУ""",1111690000377,failed,2021-08-10,2019-03-01,2.0,2.0,1.0,2011.0,16,22.22,117181717.0
1655328877,"ООО ""ТАТКОМПЛЕКТ""",1151690043207,failed,2019-10-28,2020-07-01,5.0,12.0,7.0,2015.0,16,46.63,10000.0
1655360870,"ООО ""ЭНЕРГОСТРОЙ+""",1161690104300,failed,2025-06-17,2019-10-01,2.0,10.0,7.0,2016.0,16,,
1656028379,"ТСЖ ""ПРИВОКЗАЛЬНАЯ 6""",1041624006038,failed,2025-02-10,2017-11-01,2.0,2.0,1.0,2004.0,16,68.32.1,0.0
1656036490,"ООО ""ТЕПЛОПРОГРЕСС""",1061656044537,failed,2024-03-21,2020-08-01,1.0,1.0,1.0,2006.0,16,71.11.1,10012000.0
1656094117,"ООО ""ПОЛИМЭКСТЕХНО""",1161690112165,failed,2025-12-29,2020-06-01,2.0,2.0,1.0,2016.0,16,28.30.8,10000.0
1657194058,"ООО ""ТОР КАЗ ИНВЕСТ""",1151690028731,failed,2019-12-23,2025-06-01,1.0,1.0,1.0,2015.0,16,68.10.1,10000.0
1658192913,"ООО ""МЕГАЛИТ""",1161690132240,failed,2023-06-08,2022-04-01,1.0,1.0,1.0,2016.0,16,23.63,10000.0
1658197252,"ООО ""ВТОРМЕТЛОМ""",1171690002440,failed,2024-12-09,2020-06-01,1.0,1.0,1.0,2017.0,16,38.32.2,10000.0
1659032278,"ООО ""КОРПОРАТИВНЫЕ ИНФОРМАЦИОННЫЕ РУТИНЫ (КИР)""",1021603475365,failed,2024-12-10,2020-01-01,1.0,2.0,2.0,2000.0,16,62.01,20000.0
1659212418,"ООО ""ГРАНД-ПОЛИМЕР""",1201600089987,failed,2023-06-16,2024-04-01,1.0,1.0,1.0,2020.0,16,41.20,100000.0
1660245094,"ООО ""Водопад""",1151690047123,failed,2022-03-03,2024-10-01,1.0,1.0,1.0,2015.0,16,,
1701057550,"МУП ""КЫЗЫЛГОРТРАНС""",1161719050877,failed,2023-02-01,2021-04-01,1.0,1.0,1.0,2016.0,17,49.31.21,617287.0
1827019994,"МУП Г. САРАПУЛА ""БПК""",1031804805823,failed,2024-12-27,2019-10-01,2.0,4.0,2.0,2003.0,18,96.01,100000.0
1828025599,"ЗАО ""ТСК ""ВОТКИНСКИЙ ЗАВОД""",1141828000710,failed,2022-10-01,2025-08-01,1.0,2.0,2.0,2014.0,18,35.30.2,2000000.0
1828028448,"ООО ""БРИК""",1161832073655,failed,2023-12-19,2020-09-01,1.0,2.0,2.0,2016.0,18,23.32,
1831005666,"ООО ""АКВАНТ""",1021801590524,failed,2024-04-03,2019-10-01,2.0,2.0,2.0,1992.0,18,35.30.4,300000.0
1831079690,"ООО ""УНИВЕРСАЛ - СТРОЙ""",1021801168311,failed,2023-03-17,2019-05-01,1.0,1.0,1.0,2001.0,18,41.20,15000.0
1831149019,"ООО ""МИЛАН""",1111831011357,failed,2022-02-14,2025-07-01,1.0,1.0,1.0,2011.0,18,68.20.2,314650000.0
1831176380,"ООО ""АКАДЕМГРАД""",1151832015830,failed,2021-03-25,2025-08-01,1.0,1.0,1.0,2015.0,18,68.10.1,10000.0
1832081275,"ООО ""ИЖАГРОПРОМ""",1101832000709,failed,2022-05-05,2020-08-01,1.0,1.0,1.0,2010.0,18,46.33,15000.0
1832088062,"ООО ""ТРЕК""",1111832001159,failed,2023-04-02,2024-10-01,1.0,1.0,1.0,2011.0,18,42.12,10000.0
1832089228,ООО «Торговый дом «Дебесский мясокомбинат»,1111832002006,failed,2024-10-28,2022-07-01,1.0,1.0,1.0,2011.0,18,46.90,10000.0
1832103017,"ООО ""СТРОЙПАРТНЕР""",1121832006042,failed,2022-02-07,2019-12-01,1.0,1.0,1.0,2012.0,18,41.2,10000.0
1832155520,ООО «ГАРАНТКОМПЛЕКТ»,1201800000445,failed,2023-03-24,2023-11-01,1.0,1.0,1.0,2020.0,18,46.73,10000.0
1834034190,"ТСН ""УЮТНЫЙ ДОМ""",1051801772021,failed,2023-01-31,2020-08-01,3.0,3.0,2.0,2005.0,18,68.32.1,
1837007613,"ООО ""УРАЛЭКОРЕСУРС""",1101837000760,failed,2024-05-24,2020-09-01,2.0,2.0,1.0,2010.0,18,06.10.1,10000.0
1838002400,"МУП КАМБАРСКОГО РАЙОНА ""ЭНЕРГИЯ""",1071838001487,failed,2019-05-06,2022-11-01,1.0,1.0,1.0,2007.0,18,35.30.14,2039784.0
1838009902,"ООО ПКП ""ДЫМОФФ""",1111838002022,failed,2025-07-17,2025-04-01,1.0,1.0,1.0,2011.0,18,25.11,10000.0
1840038019,"ООО ""ГОРОДСКАЯ УК""",1151840003480,failed,2024-01-04,2025-08-01,2.0,5.0,5.0,2015.0,18,68.32.1,10000.0
1840075469,"ООО ""МАГИСТРАЛЬ""",1171832027102,failed,2023-11-13,2025-09-01,2.0,4.0,4.0,2017.0,18,42.11,100000.0
1841057254,"ООО ""ЭКОГАРАНТ""",1151832018161,failed,2023-12-01,2025-01-01,1.0,1.0,1.0,2015.0,18,38.1,10000.0
1901059121,"ООО ""КОНТИНЕНТ""",1031900525205,failed,2023-03-20,2020-06-01,1.0,1.0,1.0,2003.0,19,46.73.6,20000.0
1903013620,"ООО ""ХАКАССКИЙ ТЭК""",1021900698940,failed,2018-07-27,2025-03-01,1.0,1.0,1.0,2002.0,19,35.30.14,3010000.0
1905011089,"МУП ""Тейские универсал""",1121902001297,failed,2019-11-06,2025-09-01,1.0,1.0,1.0,2012.0,19,35.30.5,50000.0
2016078775,"ООО ""ЭЛЕКТРОПУЛЬТ-ГРОЗНЫЙ""",1052021009040,failed,2023-12-20,2019-12-01,1.0,1.0,1.0,2005.0,20,27.90,70000000.0
2121004684,"ООО ""ЯМЗ""",1182130012481,failed,2021-06-20,2020-06-01,2.0,2.0,1.0,2018.0,21,10.51,10000.0
2124026140,"ООО ""СПЕЦФИНПРОЕКТ-КАСКАД""",1062124025798,failed,2025-10-16,2025-07-01,1.0,1.0,1.0,2006.0,21,68.20,312000000.0
2125000641,МУП ШГЭС,1022103029410,failed,2023-01-30,2025-05-01,1.0,2.0,2.0,1992.0,21,77.39.29,
2125007630,"ООО ""НАШ ДОМ""",1102138000084,failed,2023-03-19,2020-06-01,4.0,7.0,6.0,2010.0,21,68.32,10000.0
2126003765,"АО ""ВИК""",1022101131645,failed,2021-12-27,2025-07-01,1.0,1.0,1.0,2000.0,21,66.12.2,730000000.0
2130024493,"ООО ""ТК - СНАБЖЕНИЕ""",1072130012162,failed,2023-03-27,2023-07-01,1.0,1.0,1.0,2007.0,21,68.31.1,13300.0
2130058622,"ООО ""МКД""",1092130006341,failed,2025-12-22,2022-11-01,1.0,1.0,1.0,2009.0,21,74.20,20000.0
2130157486,"ООО ""ТЕРМИНАЛ-РЕСУРС""",1152130009240,failed,2024-04-17,2018-12-01,1.0,1.0,1.0,2015.0,21,41.20,10000.0
2130160714,"ООО ""ДИНЕРО""",1152130012341,failed,2024-05-16,2022-10-01,1.0,1.0,1.0,2015.0,21,46.72.21,100000.0
2130172822,"АО ""ГУКС""",1162130058914,failed,2022-10-02,2025-09-01,1.0,1.0,1.0,2016.0,21,70.22,57928000.0
2204012664,"ООО ""МЕХАНИЧЕСКИЙ ЗАВОД""",1032201642494,failed,2025-10-01,2022-03-01,1.0,1.0,1.0,2003.0,22,28.99.9,4000000.0
2204045300,"ООО ""ПК ""АЛТАЙЭНЕРГОМАШ""",1092204003902,failed,2024-03-22,2020-09-01,2.0,2.0,1.0,2009.0,22,25.2,20000.0
2204055386,"ООО ""ВОСТОЧНЫЙ ДОРОЖНИК""",1112204003075,failed,2021-05-02,2020-07-01,2.0,2.0,1.0,2011.0,22,81.29.9,10000.0
2204060192,"ООО ""ПРИОБСКОЕ ДЭУ""",1122204004801,failed,2024-01-25,2017-12-01,1.0,1.0,1.0,2012.0,22,81.29.9,10000.0
2221200570,"ООО ""АСПЕКТ""",1122225013679,failed,2020-09-11,2023-10-01,1.0,1.0,1.0,2012.0,22,41.20,280000280.0
2221204292,"ООО ""ЯРУС""",1132225006418,failed,2024-08-08,2020-06-01,1.0,1.0,1.0,2013.0,22,41.2,80000000.0
2224139468,"ООО ""ПРОГРЕСС ПЛЮС""",1102224001384,failed,2023-05-03,2020-07-01,1.0,1.0,1.0,2010.0,22,68.32.1,15000.0
2224148818,"ООО ""ПАНОРАМА-22""",1112224007202,failed,2019-10-11,2025-05-01,1.0,1.0,1.0,2011.0,22,22.23,20000.0
2225164499,"ООО ""ГПО №1""",1152225022135,failed,2023-05-30,2025-03-01,1.0,1.0,1.0,2015.0,22,41.20,10000.0
2246005242,"ООО ""ИСТОЧНИК""",1212200014806,failed,2024-12-28,2024-06-01,1.0,1.0,1.0,2021.0,22,36.00,10000.0
2287004907,"СПК ""КОЛХОЗ""ШАЛАПСКИЙ""",1022202915943,failed,2020-03-07,2020-08-01,1.0,1.0,1.0,2001.0,22,01.11.1,10347903.0
2301072436,"ООО ""СИТИ КРИСТАЛЛ""",1092301002485,failed,2024-06-03,2020-10-01,1.0,1.0,1.0,2009.0,23,81.29.9,10000.0
2301092457,"ООО КФ ""АНКОН""",1162301051725,failed,2022-10-16,2020-06-01,2.0,2.0,1.0,2016.0,23,10.82,20000.0
2302008948,МП  АТУ,1022300637050,failed,2021-03-26,2020-08-01,1.0,1.0,1.0,1993.0,23,68.20.29,500000.0
2305018172,"ООО ""КЕДР""",1022301067161,failed,2022-03-04,2019-09-01,1.0,1.0,1.0,1999.0,23,42.12,
2305026303,"ООО ""ЯКОРЬ""",1092305000215,failed,2023-03-23,2023-03-01,1.0,1.0,1.0,2009.0,23,41.20,20000.0
2306018440,"ООО ""ЖЕЛЕЗОБЕТОН""",1032303062770,failed,2020-01-30,2020-06-01,1.0,1.0,1.0,1999.0,23,23.61,15000.0
2308063864,"ООО ""ЛАГУНА""",1022301212911,failed,2018-06-29,2020-07-01,1.0,1.0,1.0,1999.0,23,68.2,290608500.0
2308150193,"ООО ""КРАСНОДАР СИТИ""",1082308010685,failed,2022-11-18,2025-08-01,1.0,2.0,2.0,2008.0,23,71.12.2,17500000.0
2308153211,"ООО ""СК-ГРУПП""",1082308013952,failed,2023-11-03,2025-08-01,1.0,1.0,1.0,2008.0,23,43.2,10000.0
2308185823,"ООО ""АРТЕЛЬ""",1122308001166,failed,2023-04-13,2018-08-01,1.0,1.0,1.0,2012.0,23,43.91,10000.0
2308203470,"ООО ""СТРОЙТРЕСТ""",1132308012308,failed,2021-05-02,2019-07-01,2.0,5.0,3.0,2013.0,23,41.20,40000.0
2308210928,"ООО ""ТРАНС АВТО""",1142308007478,failed,2022-09-25,2019-11-01,3.0,3.0,3.0,2014.0,23,23.61,10000.0
2308211015,"ООО ""ЧЕРНОМОР-НЕФТЕСТРОЙ""",1142308007544,failed,2022-08-25,2021-04-01,1.0,1.0,1.0,2014.0,23,71.12.2,133557412.0
2308228322,"ООО ""СПЕЦСТРОЙ""",1162375000677,failed,2022-07-08,2020-06-01,4.0,4.0,2.0,2016.0,23,08.11,10000.0
2309103911,"ООО ""КРАСНОДАРСКИЙ ТД ""БЕЛШИНА""",1072309011928,failed,2023-02-03,2021-06-01,1.0,1.0,1.0,2007.0,23,45.3,1010000.0
2309112722,"ООО ""КУБАНЬ-ПРОГРЕСС-ЮГ""",1082309003700,failed,2025-03-10,2020-03-01,1.0,1.0,1.0,2008.0,23,64.99.11,15000.0
2310156548,"ООО ""ПВМ""",1112310004641,failed,2023-02-24,2020-03-01,1.0,1.0,1.0,2011.0,23,55.10,40000.0
2311026407,"ООО ""ФОЛИАНТ""",1022301812653,failed,2022-02-06,2019-05-01,3.0,4.0,4.0,1995.0,23,46.49.31,10000.0
