company_inn,profile_headcount
1435277835,0.0
1435280588,12.0
1435309205,73.0
1502002701,0.0
1511026674,10.0
1513070245,2.0
1513076504,232.0
1622010430,0.0
1623012510,0.0
1639021831,1.0
1643016591,0.0
1644049590,0.0
1644065390,12.0
1644070062,0.0
1645018805,0.0
1646031870,1.0
1646047220,1.0
1647014605,37.0
1648022038,1490.0
1650121597,0.0
1650265895,14.0
1650357151,0.0
1651075897,1.0
1655160631,25.0
1655403179,6.0
1655439552,0.0
1658192913,2.0
1659110896,0.0
1659143468,837.0
1659163866,1.0
1660247422,0.0
1660259393,6.0
1661005257,0.0
1681000024,3427.0
1826000260,203.0
1828021097,0.0
1828025599,0.0
1831112611,2.0
1831149019,10.0
1831172836,1.0
1831180379,8.0
1831195311,2.0
1831203259,2.0
1831205496,1.0
1832040350,7.0
1832081275,0.0
1832088062,0.0
1832103017,0.0
1832150514,29.0
1833045576,11.0
1840005542,2.0
1840038019,0.0
1840040787,9.0
1840042819,2.0
1840056650,2.0
1840075469,0.0
1841019227,26.0
1841031619,40.0
1841088982,1.0
1841100855,4.0
1841106222,2.0
1901064509,122.0
1901076871,2.0
1901119821,0.0
1901128400,0.0
1903018089,8.0
1903018184,10.0
2016081143,2318.0
2125007630,1.0
2126003807,272.0
2129030502,0.0
2130024493,0.0
2130112703,1.0
2130172822,1.0
2130201544,1.0
2130220000,0.0
2204060192,0.0
2209040947,0.0
2209049227,0.0
2221064060,931.0
2223020565,1.0
2223029977,0.0
2223032641,0.0
2224132840,295.0
2224166711,1.0
2225121664,0.0
2225152380,0.0
2225164499,2.0
2235007537,1.0
2303026121,61.0
2305026303,0.0
2308024336,122.0
2308082384,1.0
2308101615,301.0
2308111927,1785.0
2308124997,337.0
2308150193,0.0
2308211015,0.0
2308228322,0.0
2309001660,0.0
2309103911,1.0
2309145774,5.0
2310142376,3.0
2310167003,7.0
2310210989,1.0
2311109685,1.0
2311121347,7.0
2311123658,1.0
2311133568,2.0
2311148194,20.0
2311237574,0.0
2311308063,6.0
2311337579,6.0
2312006139,0.0
2312054894,1194.0
2312122495,343.0
2312171340,0.0
2312288194,8.0
2315046980,1.0
2315168314,0.0
2315175230,0.0
2315177407,0.0
2317071276,4.0
2319064436,0.0
2320085335,0.0
2320175934,1.0
2320180860,12.0
2320244666,6.0
2320248886,1.0
2322001997,1317.0
2328011046,16.0
2329020710,1.0
2337034674,127.0
2340019323,141.0
2360013908,1.0
2364007479,0.0
2364011796,81.0
2364014701,0.0
2364020208,0.0
2367031470,1.0
2368001710,1.0
2372011817,0.0
2407063079,0.0
2411026288,27.0
2443049023,0.0
2443053830,0.0
2444002148,0.0
2447013236,0.0
2450035208,2.0
2454003302,1737.0
2454015379,0.0
2454023919,1.0
2460087269,3100.0
2460127761,126.0
2460209132,1.0
2460225783,661.0
2460255932,0.0
2461032618,2.0
2461201672,144.0
2461224479,3.0
2461224711,1.0
2462048307,28.0
2462070782,3.0
2462216706,5.0
2463030694,0.0
2463058820,0.0
2463068923,10.0
2463100542,1.0
2463106015,1.0
2463223960,484.0
2463231344,15.0
2463237410,2.0
2464047130,0.0
2464130726,3.0
2465043755,0.0
2465092304,0.0
2465121770,14.0
2465127003,6.0
2465142890,1.0
2465144908,0.0
2465215490,20.0
2465257242,15.0
2465273903,13.0
2465306958,5.0
2466114215,1820.0
2466160282,1.0
2466165058,16.0
2466226367,3.0
2466226705,1.0
2466280854,4.0
2502034127,527.0
2508045171,1.0
2508097780,1.0
2511048662,1.0
2526006520,0.0
2536271020,20.0
2537014019,1.0
2540110266,4.0
2540231292,0.0
2543124764,0.0
2543158989,7.0
2609025301,1.0
2618800660,17.0
2624000189,2.0
2624033219,24.0
2624036097,9.0
2626025781,174.0
2627015970,0.0
2628049851,0.0
2628057299,250.0
2628058976,25.0
2631801670,1.0
2632021520,176.0
2632049117,1.0
2632105555,4.0
2632117335,4.0
2632801168,1.0
2632808195,1.0
2634088070,33.0
2634102542,0.0
2634103190,8.0
2635095930,1063.0
2635130630,1.0
2635234654,1.0
2635244780,13.0
2635250984,1.0
2635253625,2.0
2635810957,0.0
2635818466,0.0
2635831146,23.0
2636033975,56.0
2636050561,4.0
2700006516,0.0
2703046500,0.0
2706029140,34.0
2721070706,0.0
2721121661,50.0
2721202328,291.0
2722010548,1200.0
2722039522,6.0
2722110430,1.0
2723093561,0.0
2723147697,0.0
2724076600,1.0
2724084753,0.0
2725095966,2.0
2801164533,1.0
2801255580,1.0
2804009663,0.0
2808017577,0.0
2826005567,0.0
2901155229,3.0
2901168080,1.0
2901170964,3.0
2901172376,7.0
2901197885,33.0
2901201475,1.0
2901201500,1.0
2901201570,2.0
2901204081,5.0
2901250948,29.0
2901294127,164.0
2901297142,0.0
2901299608,9.0
2901302219,98.0
2901302988,4.0
2901306894,1.0
2902058080,50.0
2902058235,40.0
2902061213,4.0
2905013240,8.0
2907008291,1.0
2922008546,933.0
3009010009,1.0
3018013285,7.0
3019025491,1.0
3023021098,3.0
3025003760,30.0
3121000410,0.0
3121008507,0.0
3123060284,0.0
3123190660,2.0
3123300970,0.0
3123328069,1.0
3207009929,1.0
3233000866,59.0
3245016691,0.0
3250526578,3.0
3250527412,38.0
3254502641,12.0
3255520690,10.0
3257030718,16.0
3257047207,3.0
3301025741,14.0
3301029129,19.0
3301033936,0.0
3302003469,28.0
3303036019,0.0
3305056518,0.0
3305714742,0.0
3305795519,0.0
3306010957,1.0
3306018949,0.0
3308004388,217.0
3310003494,2290.0
3310004593,18.0
3314007838,5.0
3317012184,12.0
3321025500,13.0
3324121755,44.0
3324121762,37.0
3327116200,0.0
3327127924,10.0
3327821280,32.0
3327827595,17.0
3327848404,233.0
3328024880,123.0
3328029461,10.0
3328101380,2166.0
3403015132,41.0
3418101610,1.0
3426013572,23.0
3434000560,437.0
3435112273,1.0
3435134076,7.0
3435134911,29.0
3435140538,1.0
3442117699,69.0
3443063559,65.0
3443064802,12.0
3443141630,2.0
3443920517,0.0
3443927632,11.0
3444063311,17.0
3444173314,0.0
3444179919,2.0
3444213937,1.0
3444259579,2147.0
3444273397,67.0
3444273527,19.0
3445901710,0.0
3448045313,20.0
3448046846,34.0
3455051540,1.0
3455053474,17.0
3456004078,43.0
3457004024,3.0
3459000603,9.0
3459079314,0.0
3459080119,1.0
3459082204,3.0
3460015918,69.0
3460019060,1664.0
3460060332,7.0
3460060692,22.0
3460068733,1.0
3461005140,7.0
3461012363,3.0
3507308285,0.0
3510008524,0.0
3521100754,6.0
3523011161,15.0
3525170350,21.0
3525186880,5.0
3525272835,3.0
3525298618,0.0
3525299442,0.0
3525322606,6.0
3525356066,0.0
3525372678,1259.0
3526019850,1.0
3527018390,109.0
3528119088,0.0
3528205266,0.0
3628017442,0.0
3662075780,0.0
3662156541,1.0
3662173603,1.0
3662254651,99.0
3662281422,152.0
3663046559,443.0
3663070456,1.0
3663080655,1.0
3663089288,0.0
3663154970,7.0
3664107194,1.0
3664241908,6.0
3665084006,1.0
3665086317,1.0
3665087007,1.0
3666153870,0.0
3666156454,0.0
3666156493,28.0
3666204556,0.0
3701042780,0.0
3701048581,1.0
3702070999,23.0
3702202980,38.0
3702227294,1.0
3702238867,4.0
3702266720,5.0
3702519868,16.0
3702546808,0.0
3702559758,33.0
3702560312,6.0
3702597104,890.0
3702615089,5.0
3702633948,2.0
3702724352,3.0
3703023543,268.0
3704005843,369.0
3704006100,5.0
3704009855,0.0
3704562555,36.0
3705010317,86.0
3724019019,0.0
3804010477,1.0
3804120649,10.0
3808082585,0.0
3808194465,1.0
3808195620,44.0
3808207844,3.0
3808271695,0.0
3810064110,0.0
3811051107,3.0
3811101580,41.0
3811103549,0.0
3811142410,43.0
3811184795,0.0
3812149592,1.0
3812156649,0.0
3816028260,375.0
3819018655,616.0
3834015458,0.0
3837004920,37.0
3900003761,8.0
3905054801,0.0
3905056372,0.0
3905090729,5.0
3906091299,4.0
3906133132,31.0
3906152752,5.0
3906214945,1057.0
3906228560,1.0
3906307974,8.0
3906349533,6.0
3906368938,0.0
3906377308,8.0
3906382869,4.0
3906384873,5.0
3906384979,7.0
3906900800,1.0
3906957355,2.0
3906965250,0.0
3906974015,3.0
3906995368,1.0
3907210213,4.0
3908026672,16.0
3908603520,17.0
3908604972,22.0
3909026178,0.0
3910005567,0.0
3912008806,2.0
3912015916,1.0
3913500143,4.0
3914021094,14.0
3918014394,3.0
4003040087,1.0
4005001020,0.0
4028033476,16.0
4029047016,1.0
4029048997,0.0
4101127829,4.0
4101164098,8.0
4101182812,1.0
4101182851,14.0
4102007570,2.0
4105045327,167.0
4105045535,1.0
4105127241,2.0
4205318909,17.0
4205364091,16.0
4217135385,7.0
4217142657,0.0
4217189937,5.0
4218108183,13.0
4223030694,594.0
4223062495,0.0
4223715803,0.0
4246005334,1.0
4246021375,1.0
4312154620,0.0
4345244654,25.0
4345380329,15.0
4345484818,12.0
4345496348,2.0
4346007053,0.0
4346011123,526.0
4401050567,256.0
4401060318,24.0
4403006732,51.0
4415006543,9.0
4501149954,10.0
4501155500,11.0
4519006185,28.0
4526006556,25.0
4632064246,416.0
4632165780,183.0
4632206966,3.0
4632231666,1.0
4632281152,13.0
4633017746,277.0
4703123733,0.0
4703132960,0.0
4705085917,4.0
4706035690,1.0
4707029682,251.0
4824069174,0.0
4824096964,2.0
5001091458,68.0
5001115540,0.0
5003106910,3.0
5004021787,486.0
5009051168,1.0
5009095550,1457.0
5010049460,42.0
5012055109,220.0
5012070724,162.0
5012073700,2.0
5013029133,0.0
5020054204,20.0
5022053164,0.0
5024037961,1.0
5024054445,8.0
5024164328,0.0
5027169892,18.0
5027175247,0.0
5027251875,0.0
5029229280,0.0
5031144139,77.0
5032199740,2289.0
5032240886,1.0
5032250556,1.0
5032291619,0.0
5032314898,1.0
5035041575,1.0
5036032485,522.0
5036058099,25.0
5036120702,0.0
5036155945,4.0
5038102762,25.0
5040085948,0.0
5040090360,9.0
5040109331,855.0
5040182765,0.0
5042155950,0.0
5044089069,42.0
5044091205,5.0
5045021793,95.0
5045068600,1.0
5047089839,0.0
5047189752,96.0
5047246016,165.0
5074046552,46.0
5105013976,8.0
5190083562,1.0
5243024683,1.0
5250070112,6.0
5256068455,100.0
5256130449,2.0
5257077830,41.0
5257080575,4.0
5259047735,40.0
5259079663,1.0
5260162203,41.0
5260403184,13.0
5261046908,39.0
5262145725,33.0
5262252702,10.0
5262314807,14.0
5263095330,6.0
5321184285,0.0
5401358385,1.0
5401375454,0.0
5401968648,1.0
5402039800,25.0
5402576629,9.0
5404020643,149.0
5404227535,422.0
5405450938,91.0
5405988035,0.0
5406420380,1.0
5406749463,108.0
5406775054,24.0
5406791641,0.0
5406804234,0.0
5407267053,11.0
5407979646,223.0
5408005131,0.0
5408287743,0.0
5417105206,0.0
5503272070,1469.0
5507240591,0.0
5605021799,171.0
5607140079,44.0
5609183938,3.0
5612164639,144.0
5700001898,6.0
5803017995,0.0
5805014326,32.0
5823008879,11.0
5829731435,16.0
5834111740,44.0
5836631600,165.0
5836680277,17.0
5902817382,1444.0
5903122418,11.0
5903135939,9.0
5903139281,3.0
5904063980,0.0
5904322924,11.0
5904359441,10.0
5904369344,0.0
5905045582,17.0
5905285270,15.0
5907001534,6.0
5907022887,6.0
5908077857,8.0
5911061173,36.0
5916034198,3.0
5917590857,4.0
5945001334,0.0
6025021116,1.0
6025027679,220.0
6027110298,0.0
6102023270,1.0
6133013627,5.0
6143064532,1.0
6154034586,2.0
6154139772,2.0
6155921809,79.0
6164123154,0.0
6213009640,166.0
6230092159,10.0
6234177678,0.0
6311084205,1.0
6315018330,1.0
6317067012,1.0
6318126912,0.0
6319141600,0.0
6321288695,3.0
6323109567,0.0
6325067190,3.0
6340007519,0.0
6345012142,0.0
6402006081,0.0
6404000462,4.0
6439088700,36.0
6440026346,0.0
6449072121,3.0
6449082708,8.0
6449095062,40.0
6450090478,1.0
6450101112,8.0
6454045814,0.0
6455071165,1.0
6501175475,0.0
6501248109,1.0
6501270915,1.0
6603022830,0.0
6623127461,1.0
6625052243,26.0
6636006601,12.0
6639013357,2.0
6649003478,0.0
6652015321,1.0
6656000051,494.0
6658320970,152.0
6658433903,0.0
6658515673,13.0
6670189560,1365.0
6670503882,1.0
6671028735,1937.0
6671228974,0.0
6671246003,458.0
6671315810,18.0
6671430676,0.0
6673181859,0.0
6679060346,0.0
6680004730,0.0
6681011498,0.0
6685129317,14.0
6722042064,6.0
6732101424,0.0
6812000252,2.0
6827016505,0.0
6827020124,1.0
6827020780,1742.0
6829046551,25.0
6829141981,1.0
6900000364,2158.0
6901086759,3.0
6901093516,811.0
6902025678,69.0
6911003166,14.0
6911022708,1.0
6911031117,16.0
6913017608,16.0
6931008620,2.0
6949108432,471.0
6950029489,10.0
6950040612,6.0
6950103478,6.0
6950154225,11.0
6950157459,0.0
6950169101,28.0
6950185150,13.0
6950191273,1.0
6950195736,8.0
6950214481,3.0
6950217644,33.0
6950236083,32.0
6950243877,2.0
6950244013,26.0
6950246860,36.0
6950250560,48.0
6950257206,1023.0
6950259997,2.0
6952035865,0.0
6952316640,10.0
7000002434,0.0
7017317753,2.0
7017488244,7.0
7102005547,2184.0
7103022915,0.0
7105504223,1322.0
7106081122,3.0
7107107609,38.0
7107136409,15.0
7107500552,734.0
7113004344,1.0
7113021220,0.0
7118507920,1.0
7126020304,1.0
7203153686,0.0
7203275532,0.0
7203332558,0.0
7203346818,1.0
7203375992,0.0
7203410735,6.0
7203485064,4.0
7203490709,2.0
7203503669,2.0
7204116422,26.0
7204116609,0.0
7204159176,6.0
7206000783,60.0
7206029278,1.0
7300002675,5.0
7321005620,0.0
7327048010,0.0
7327050940,2.0
7327087073,0.0
7404040139,332.0
7417015891,104.0
7438029670,18.0
7450042660,0.0
7453221473,0.0
7453240236,1.0
7453300855,0.0
7453320442,1.0
7455024939,1.0
7457004737,0.0
7516003311,121.0
7519004666,78.0
7524189229,3.0
7528005264,6.0
7529012779,71.0
7529013028,0.0
7531006317,90.0
7536146131,1.0
7536155513,0.0
7536169210,14.0
7604193710,632.0
7610046802,1.0
7610086918,0.0
7701100800,52.0
7701264999,0.0
7701736546,0.0
7702544276,0.0
7702673970,176.0
7702763976,1.0
7703421630,0.0
7703472017,1.0
7703561330,41.0
7703709450,0.0
7703792360,23.0
7703819893,0.0
7704006241,1.0
7704036711,0.0
7704221591,588.0
7704440018,458.0
7704441808,1.0
7704448440,7.0
7704527413,5.0
7704670685,1.0
7704799174,115.0
7705032357,0.0
7705449687,0.0
7705699768,1.0
7706236459,1.0
7706462063,0.0
7706561875,360.0
7706724054,31.0
7706743410,1.0
7707306927,15.0
7707408830,1.0
7707459458,2.0
7707473100,4.0
7707712559,0.0
7707820378,30.0
7708275005,10.0
7708326429,2.0
7708329405,0.0
7708351270,0.0
7708639622,94.0
7708725945,59.0
7708737517,2.0
7708768924,0.0
7708818269,0.0
7709342198,1.0
7709431786,1190.0
7709518412,0.0
7709782777,1.0
7710329843,150.0
7710530196,0.0
7710706139,0.0
7713150403,20.0
7713273194,36.0
7713419774,0.0
7713531896,0.0
7714046959,1.0
7714431407,0.0
7714479511,10.0
7714617793,24.0
7714981136,42.0
7715398760,0.0
7715408665,2.0
7715854959,72.0
7715887873,20.0
7715902899,122.0
7715905730,8.0
7715954657,0.0
7716209662,11.0
7717089284,0.0
7717285458,1077.0
7718060753,0.0
7719487410,0.0
7720315293,12.0
7720674630,12.0
7720795924,0.0
7721327862,1.0
7722373188,122.0
7722465826,36.0
7722713660,3.0
7722837094,0.0
7722849692,0.0
7723738018,377.0
7723812670,109.0
7723887901,0.0
7724105272,11.0
7724303972,0.0
7725294576,1.0
7725413488,26.0
7725722060,9.0
7726378878,16.0
7726389679,3.0
7726445059,3.0
7726459397,2.0
7726471355,0.0
7726482815,0.0
7726665079,1.0
7726736717,1.0
7727243930,1.0
7727339367,0.0
7727342987,21.0
7727390050,1.0
7727426620,55.0
7727697789,2.0
7727746531,1.0
7727845780,0.0
7728308153,1.0
7728348981,0.0
7728515640,1.0
7728898960,0.0
7729232330,0.0
7729524407,160.0
7730553917,18.0
7730707846,1.0
7731103741,0.0
7731112390,150.0
7731646956,33.0
7731660990,8.0
7733159323,1.0
7733189840,0.0
7733222705,3.0
7733250597,4.0
7733335610,1.0
7733341558,2.0
7733354363,0.0
7733897659,0.0
7734429396,47.0
7734435907,20.0
7734561570,1.0
7734646143,0.0
7734657508,8.0
7734659505,1.0
7734734470,1.0
7735030195,0.0
7735564670,0.0
7736317095,717.0
7743130122,20.0
7743257915,5.0
7743422492,0.0
7743443164,3.0
7743735618,166.0
7743834055,148.0
7751016536,2.0
7751165383,0.0
7751188831,1.0
7751511604,3.0
7801489428,158.0
7801697957,37.0
7802131219,1120.0
7802933780,0.0
7805105344,48.0
7805277752,0.0
7806511035,24.0
7807056942,65.0
7807329808,96.0
7810204213,139.0
7810258843,108.0
7810263434,39.0
7810307307,21.0
7810368074,0.0
7810458070,0.0
7810644285,0.0
7810731844,0.0
7810796979,1.0
7810919204,6.0
7811205259,15.0
7811405931,694.0
7813264676,2.0
7813417393,282.0
7813419263,224.0
7814293430,2.0
7814751104,2.0
7816223580,99.0
7816453819,0.0
7816560779,0.0
7817067284,1.0
7819030096,102.0
7838013473,4196.0
7838025743,202.0
7839104684,0.0
7839446350,3.0
7839500141,0.0
7840081294,3.0
7840389346,30.0
7840441148,1.0
7841081667,0.0
7841384710,340.0
7841394540,0.0
7842133773,2.0
7842304059,0.0
7842438824,0.0
7843307888,176.0
7901540205,3.0
8000027737,14.0
8001019425,6.0
8602015464,425.0
8602078947,3.0
8602207381,24.0
8602209942,31.0
8602219740,13.0
8602273024,16.0
8602289722,0.0
8602289881,15.0
8618002005,0.0
8904074836,0.0
8911009161,0.0
9102036669,1.0
9102061908,0.0
9102193372,1.0
9102200453,0.0
9102249547,1.0
9103070510,1.0
9105012465,12.0
9108106739,17.0
9111012375,1.0
9111026674,1.0
9201000247,1.0
9204568084,1.0
9310011263,16.0
9701171650,50.0
9703000339,0.0
9703022614,0.0
9703115058,0.0
9704106842,0.0
9705141494,0.0
9709040546,0.0
9710045732,1.0
9715268309,0.0
9715270139,1.0
9715306970,0.0
9717015783,22.0
9717071756,1.0
9717078279,152.0
9717092788,20.0
9718161032,32.0
9718161427,14.0
9718177360,0.0
9722027424,31.0
9723085228,1.0
9723089737,14.0
9723094374,0.0
9723114670,0.0
9724011885,0.0
9725081726,3.0
9726044011,2.0
9728030286,2.0
9729035696,0.0
9729265900,1.0
9729267231,9.0
9729346892,24.0
9731010160,0.0
9731038503,5.0
9731073988,1.0
